地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,路段
虎尾鎮虎興東一街１３８之７號,,112/07/23,1560,24.49,63.7,,透天厝,,全/三層,房地(土地+建物),土:4 建:1車:0,5房3廳5衛,,有,無,住家用,,虎尾鎮虎興東一街
虎尾鎮虎興東一街１４６號,,112/05/15,1500,19.62,76.46,,透天厝,,全/四層,房地(土地+建物),土:2 建:1車:0,5房3廳6衛,,無,有,住家用,,虎尾鎮虎興東一街
虎尾鎮虎興東一街１８３號,,113/03/15,1500,19.05,78.76,,透天厝,2,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳5衛,,無,有,住家用,,虎尾鎮虎興東一街
虎尾鎮虎興東一街２２２號,,112/03/29,1100,15.53,70.81,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳3衛,,無,無,住家用,買方另補貼賣方給建商客變及代辦費用共計新台幣捌萬陸仟元整。其他增建;,虎尾鎮虎興東一街
虎尾鎮虎興東一街２６２號,,111/12/21,1860,28.49,65.29,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東一街
虎尾鎮虎興東一街２６６號,,113/05/21,2160,32.95,65.55,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興東一街
虎尾鎮虎興東一街２６８號,,113/02/05,2058,31.4,65.55,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,建物第一次登記後移轉,虎尾鎮虎興東一街
虎尾鎮虎興東一街２７６號,,112/12/24,2038,31.09,65.55,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,建物第一次登記後移轉,虎尾鎮虎興東一街
虎尾鎮虎興東一街２７８號,,112/09/18,2038,31.25,65.21,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東一街
虎尾鎮虎興東一街２８０號,,111/10/23,1860,28.52,65.21,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東一街
虎尾鎮虎興東二路１７２號,,112/03/31,1678,28.18,59.54,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,5房2廳5衛,,有,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東二路
虎尾鎮虎興東二路１７６號,,112/05/22,1618,27.58,58.67,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,5房2廳5衛,,有,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東二路
虎尾鎮虎興東二路１８６號,,112/05/13,1608,27.82,57.8,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,5房2廳5衛,,有,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東二路
虎尾鎮虎興東二路１８８號,,112/05/28,1630,27.85,58.52,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳5衛,,有,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東二路
虎尾鎮虎興東二路１９６號,,112/04/14,1320,18.46,71.5,,透天厝,1,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳5衛,,無,無,住家用,其他增建;,虎尾鎮虎興東二路
虎尾鎮虎興東二路１９８號,,111/01/27,1215,17.61,68.98,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳5衛,,無,無,住家用,其他增建;,虎尾鎮虎興東二路
虎尾鎮虎興東八街３０號,,113/02/05,856,30.9,29.75,0.9399,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物)+車位,土:1 建:1車:2,1廳1衛,180,有,有,商業用,建物第一次登記後移轉,虎尾鎮虎興東八街
虎尾鎮虎興東八街３２號三樓之１,,112/07/10,582,16.2,34.52,0.7632,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物)+車位,土:1 建:1車:1,3房1廳2衛,85,有,有,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東八街
虎尾鎮虎興東八街３２號三樓之２,,111/01/28,547,16.9,31.23,0.7668,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,85,有,有,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東八街
虎尾鎮虎興東八街３２號三樓之６,,111/11/19,550,16.2,32.6,0.7813,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,85,有,有,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東八街
虎尾鎮虎興東八街３２號二樓之２,,112/09/30,570,20.9,27.27,0.7676,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東八街
虎尾鎮虎興東八街３２號二樓之３,,111/03/26,560,17.4,31.23,0.7668,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,85,有,有,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東八街
虎尾鎮虎興東八街３２號二樓之７,,111/03/08,512,16.8,29.36,0.766,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,85,有,有,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東八街
虎尾鎮虎興東八街３２號五樓之２,,112/08/28,560,17.4,31.23,0.7668,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,85,有,有,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東八街
虎尾鎮虎興東八街３２號五樓之７,,111/02/07,517,17,29.36,0.766,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,85,有,有,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東八街
虎尾鎮虎興東八街３２號四樓之２,,111/03/26,560,17.4,31.23,0.7668,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,85,有,有,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東八街
虎尾鎮虎興東八街３２號四樓之３,,111/03/25,560,17.4,31.23,0.7668,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,85,有,有,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興東八街
虎尾鎮虎興東八街３２號四樓之７,,113/02/03,499,17,29.36,0.766,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,85,有,有,住家用,建物第一次登記後移轉,虎尾鎮虎興東八街
虎尾鎮虎興東六路３７號,大砌,113/05/02,1420,21.07,67.39,,透天厝,9,全/三層,房地(土地+建物),土:3 建:1車:0,5房1廳4衛,,無,無,住家用,含傢俱設備費;,虎尾鎮虎興東六路
虎尾鎮虎興東六路４２號,,113/02/06,1460,24.5,59.58,,透天厝,4,全/三層,房地(土地+建物),土:2 建:1車:0,5房2廳5衛,,無,無,住家用,,虎尾鎮虎興東六路
虎尾鎮虎興東十一街３８號,,111/09/19,1040,16.26,63.97,,透天厝,9,全/三層,房地(土地+建物),土:3 建:1車:0,5房2廳5衛,,有,無,住家用,其他增建;,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街６２號,,112/04/21,1490,21.75,68.52,,透天厝,9,全/三層,房地(土地+建物),土:2 建:1車:0,5房2廳5衛,,無,無,住家用,買賣總價包含增建部分、屋外採光罩、室內裝潢、傢俱、家電。其他增建;,虎尾鎮虎興東十一街
